imports,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Austria,1257.0,1432.0,1447.0,1336.0,1538.0,1577.0,1601.0,1968.0,1901.0,1309.0,1369.0,1452.0,1559.0,1555.0,0.0,0.0,0.0,0.0,0.0
   Belgium,3491.0,3209.0,3792.0,3818.0,3968.0,4063.0,4605.0,4014.0,6792.0,5916.0,5924.0,5828.0,5668.0,5502.0,0.0,0.0,0.0,0.0,0.0
   Bulgaria,281.0,355.0,343.0,400.0,367.0,441.0,435.0,393.0,517.0,523.0,528.0,482.0,560.0,609.0,0.0,0.0,0.0,0.0,0.0
   Croatia,344.0,352.0,371.0,393.0,388.0,392.0,404.0,414.0,405.0,394.0,394.0,391.0,384.0,413.0,0.0,0.0,0.0,0.0,0.0
   Cyprus,69.0,59.0,57.0,59.0,59.0,80.0,74.0,71.0,78.0,72.0,77.0,82.0,84.0,94.0,0.0,0.0,0.0,0.0,0.0
   Czech Republic,809.0,899.0,888.0,974.0,929.0,1063.0,940.0,1037.0,1037.0,930.0,951.0,952.0,1127.0,1184.0,0.0,0.0,0.0,0.0,0.0
   Denmark,1022.0,1103.0,1076.0,1002.0,1119.0,993.0,1004.0,995.0,900.0,860.0,1015.0,909.0,913.0,921.0,0.0,0.0,0.0,0.0,0.0
   Estonia,105.0,161.0,120.0,134.0,176.0,221.0,254.0,277.0,334.0,357.0,263.0,167.0,157.0,156.0,0.0,0.0,0.0,0.0,0.0
   Finland,1063.0,1084.0,1075.0,1105.0,1152.0,1156.0,1168.0,1207.0,1285.0,1243.0,1274.0,1287.0,1238.0,1275.0,0.0,0.0,0.0,0.0,0.0
   France,6520.0,6753.0,6925.0,6652.0,5940.0,5714.0,6191.0,6420.0,6252.0,6670.0,6717.0,6992.0,6841.0,6713.0,0.0,0.0,0.0,0.0,0.0
   Germany,13895.0,14753.0,15516.0,15727.0,17356.0,16716.0,18543.0,19564.0,19876.0,19416.0,20603.0,20926.0,21816.0,21174.0,0.0,0.0,0.0,0.0,0.0
   Greece,798.0,868.0,897.0,998.0,942.0,931.0,897.0,1081.0,1056.0,1046.0,1061.0,1155.0,1244.0,1269.0,0.0,0.0,0.0,0.0,0.0
   Hungary,790.0,833.0,828.0,864.0,977.0,852.0,901.0,894.0,811.0,704.0,727.0,640.0,748.0,557.0,0.0,0.0,0.0,0.0,0.0
